40001,24318
29621,104404
117730,585248
20762,43786
37144,1046169
48260,172
12656,73838
38867,42113
277270,1661328
25969,56059
44103,81964
753,11147
43634,129708
9103,15111
90214,59438
29649,104507
10990,7256
8866,7145
8866,1390539
12233,71792
12233,1447347
23449,1175207
36355,129941
37667,1016352
90148,1585647
922,4429
11876,25950
52633,31310
62364,108499
11687,64909
9304,1524
9304,1409284
73183,940684
131232,1093108
131232,1093110
9100,41549
20759,68215
46063,5696
32513,19304
40651,124237
40651,124238
36915,18500
40507,19266
9802,865
9802,1400738
9802,1531867
25697,29706
25697,1484538
21588,87680
21588,81874
21588,1478829
21588,1575795
664,2209
664,81729
664,1339468
11867,70792
47119,16988
314352,564791
9323,12180
10280,64796
10535,65548
124613,145304
532,7314
26744,81976
16299,4610
10547,28239
10547,1400833
10547,1400835
245268,93906
935,240
935,12681
55613,97579
215107,153908
41007,17784
41007,1731386
35645,114468
110465,14860
255546,1090082
40751,12453
275096,1209349
85778,223825
11101,14614
9826,18254
9879,41550
9879,1183454
63564,229695
22621,366
7095,1776
26890,16378
26890,1400540
46732,122728
124633,1009298
202425,1184422
202425,24409
196940,1177451
77771,1079380
181083,1153142
41225,4415
41225,15389
41225,53767
41225,1763213
41225,1763219
41225,62468
41225,1763220
41225,54361
41225,994213
41225,1177219
188589,117075
188589,990400
87190,21415
627,2034
627,9009
627,1890696
32872,1214396
602,6046
602,1342629
602,1391605
602,1391606
14553,4956
9566,893
9566,1422074
10545,62047
10545,62048
10545,1447436
10545,1447590
10545,1447587
9894,7399
11543,7395
11543,7396
11543,1367508
9268,26713
9268,1434224
9268,1434225
9268,57077
52059,240366
52059,30811
9327,4499
123763,1066960
81949,592762
42005,544331
124306,41521
183955,262130
44535,3111
44495,1144694
78285,138795
11228,18878
11228,62739
11228,570136
10779,108
10779,1424641
26748,102445
26748,992965
38223,18320
9294,12962
49963,56539
49963,1400540
11363,12833
1645,5572
31546,77076
31546,1399029
31546,21463
31546,113371
31546,1680614
31546,1680615
77056,28615
36344,6387
36344,66076
36344,1410205
18550,40230
11511,12988
11511,1403421
172198,1059880
34170,2357
281085,30869
109478,1046588
124645,14132
12606,15042
69895,225140
35206,793
35206,1511310
35206,1753577
35206,578049
151489,87397
4837,28615
4837,1372854
4837,1372855
12632,56201
12632,1870
9098,48685
282919,6258
124614,81749
18975,18308
11962,71110
2925,28904
2925,1476342
2925,1486764
2925,1553561
28628,179609
3595,6159
9308,7678
92381,183036
18555,119310
12123,12989
10830,518
3573,40749
3573,32983
10546,65602
18862,92554
31417,37302
9431,10953
9431,1399582
124619,1080308
297645,1189125
48144,146295
46986,91343
144982,117808
47907,1232954
10061,11770
36266,107730
549,7482
10478,4037
10478,1400738
66634,112674
116690,587603
116690,1602585
213917,24485
145925,252740
100914,1112331
238,1776
238,10546
238,718968
238,1625347
159,1869
11134,44916
88224,124092
132641,125690
132641,1268046
42758,33405
9303,9340
9303,9339
23945,133259
37820,1155073
22479,9789
9054,56828
241058,1276348
11985,71174
10232,64219
59569,69042
410921,232119
38955,44916
110513,205639
114089,118513
11015,37710
11015,1546006
11015,1633976
9306,13776
9306,42175
12559,69741
58770,508
58770,1015922
124851,17046
3587,13563
10723,15521
10723,1392150
56077,6361
19004,24346
101230,28889
10987,55116
44705,98750
20318,33054
43596,14353
79782,587971
26933,96627
27854,10790
981,14674
872,13284
872,13294
2769,13980
13320,13284
164,1927
426,2636
426,50581
567,2636
3078,2662
13528,14674
13528,1365045
28288,30165
213,2636
213,1472596
284,3146
284,18379
284,1551963
284,1825945
239,3146
239,18379
239,940683
4808,13284
4808,41713
289,4109
289,8720
963,6593
963,1570441
963,1544013
11113,14674
6620,3146
6620,1183417
804,10001
804,2653
804,105477
26531,80570
909,13980
630,9049
770,9049
770,91234
770,1623581
31044,24318
599,3146
599,8626
599,1183417
15,40
15,1343610
15,14511
62,240
121357,108914
705,10601
705,123574
705,1087075
22490,14674
22490,10015
223,2636
223,1351504
223,91234
25670,2636
303,2636
303,121052
4174,2636
8356,30008
8356,1678832
381,2636
20758,13980
29376,13980
1859,2428
18299,3146
17281,13980
64382,13980
10907,4109
10907,67426
32093,29595
1939,834
1939,1534174
22292,10601
3598,2662
3080,30165
198,2428
13562,74659
1712,18738
220,2746
220,1312999
220,85426
220,1639186
3529,32427
3529,130325
3085,11435
3085,1312730
2897,20412
2897,50300
2897,1369441
2897,1427699
1585,2662
1585,1348081
3083,2662
3083,1348081
3083,927617
3083,93960
900,11435
43795,18738
85638,8741
50001,14643
43905,31497
22688,81165
23114,31497
26378,95293
40206,33064
22356,50302
260,2636
260,3681
43488,2000
43488,118316
43488,940683
22613,11435
22613,13348
10331,14999
488,6593
22733,6593
22733,186930
22733,1371059
22733,1588445
261,3632
57575,3632
32574,2662
32574,1348081
22657,31497
76464,148849
22649,14855
22649,1456433
22649,1469564
22649,1533674
176841,78053
176841,130325
125587,40749
125587,72467
39448,35452
