id,company_name,parent_company
52599,mike lobell productions,mike lobell productions
5270,opala productions,opala productions
310,centre national de la cinématographie,centre national de la cinématographie
1712,odessa films,odessa films
5982,bioskop film,bioskop film
8331,van peebles films,van peebles films
38955,orpheus films,orpheus films
1854,dan films,dan films
8095,merseyside film production fund,merseyside film production fund
26109,evzen kolar productions,evzen kolar productions
4655,favorite films,favorite films
452,maurice mcendree productions,maurice mcendree productions
453,walter reade organization inc.,walter reade organization inc.
454,faces international films,faces international films
10828,mdp worldwide,mdp worldwide
38114,selima films avv,selima films avv
55140,noon attack pictures,noon attack pictures
554,silver screen partners iii,silver screen partners iii
27128,the bubble factory,the bubble factory
38181,american films,american films
182,jvc entertainment,jvc entertainment
254,pandora filmproduktion,pandora filmproduktion
506,newmarket capital group,newmarket capital group
663,12 gauge productions,12 gauge productions
582,hachette première,hachette première
17777,centaur pictures inc.,centaur pictures inc.
7961,gaumont international,gaumont international
16804,france 3 cinema,france 3 cinema
33624,wood-thomas pictures,wood-thomas pictures
54051,atman entertainment,atman entertainment
89312,fred berner films,fred berner films
3541,koninck studios,koninck studios
64448,image forum,image forum
6137,ruddy morgan productions,ruddy morgan productions
10171,pvm entertainment,pvm entertainment
11787,po' boy productions,po' boy productions
1121,price,price
8694,silvio berlusconi communications,silvio berlusconi communications
11011,fonds eurimages du conseil de l'europe,fonds eurimages du conseil de l'europe
12242,urania film,urania film
13837,k.g productions,k.g productions
20849,audifilm,audifilm
86308,bibo productions,bibo productions
23370,constant c productions,constant c productions
28400,glem production,glem production
93503,pxp productions,pxp productions
740,mtm cineteve,mtm cineteve
9023,pro 7,pro 7
528,bandai visual company,bandai visual company
6999,kodansha,kodansha
12657,production i.g.,production i.g.
19262,renegade films,renegade films
297,aardman animations,aardman animations
3333,enterprise productions,enterprise productions
19760,roberts pictures inc.,roberts pictures inc.
12450,steelwork films,steelwork films
12451,mediaworks,mediaworks
88,hawk films,hawk films
6697,the canadian council,the canadian council
6698,the canada manitoba cultural industries development office (cido),the canada manitoba cultural industries development office (cido)
6700,the manitoba arts council,the manitoba arts council
36995,anuline,anuline
69627,universal city studios,"NBCUniversal Media, LLC."
21454,riofilme,riofilme
998,royal film,royal film
1704,bavaria film,bavaria film
21948,b.a. produktion,b.a. produktion
23417,perathon film-und fernsehproduktions,perathon film-und fernsehproduktions
79,village roadshow pictures,village roadshow pictures
4125,available light productions,available light productions
2173,great oaks entertainment,great oaks entertainment
17179,bbc arena,bbc arena
17064,charles matthau-jerry tokofsky-john davis productions,charles matthau-jerry tokofsky-john davis productions
393,mact productions,mact productions
5983,stefi 2,stefi 2
16975,lichtblick film- und fernsehproduktion (i),lichtblick film- und fernsehproduktion (i)
18188,magnolia mae films,magnolia mae films
86296,intrinsica films,intrinsica films
11796,centre du cinéma et de l'audiovisuel de la fédération wallonie-bruxelles,centre du cinéma et de l'audiovisuel de la fédération wallonie-bruxelles
43860,sol'oeil films,sol'oeil films
66451,lamy films,lamy films
72598,ministère des affaires étrangères et du développement international,ministère des affaires étrangères et du développement international
72471,studio kankourama,studio kankourama
72472,cinegrit,cinegrit
72469,direction du cinema haute volta,direction du cinema haute volta
512,cocinor,cocinor
2260,les films marceau,les films marceau
7508,produzioni europee associati (pea),produzioni europee associati (pea)
73349,pea,pea
1152,independent television service,independent television service
21072,cicada films,cicada films
21073,kentucky educational television,kentucky educational television
21074,nea,nea
21075,sinkhole productions inc.,sinkhole productions inc.
21076,tmf metro,tmf metro
358,noel gay motion picture company,noel gay motion picture company
9349,film4,film4
11561,recorded picture company (rpc),recorded picture company (rpc)
14698,jeremy thomas productions,jeremy thomas productions
15671,france 2 cinéma,france 2 cinéma
20783,fiction films,fiction films
1236,mandalay entertainment,mandalay entertainment
2090,motion picture corporation of america,motion picture corporation of america
61085,gea cinematográfica,gea cinematográfica
6274,mk2 production,mk2 production
4095,first run features,first run features
50180,tangent films international,tangent films international
231,initial productions,initial productions
21304,cabin fever entertainment,cabin fever entertainment
11948,rio dulce,rio dulce
2070,rastar pictures,rastar pictures
2348,nickelodeon movies,Paramount Global
53407,electric,electric
53408,team communications group,team communications group
28206,prairie oyster productions,prairie oyster productions
30232,compagnie eric rohmer (cer),compagnie eric rohmer (cer)
87554,fuchs/burg,fuchs/burg
1655,új budapest filmstudió,új budapest filmstudió
8138,vega film,vega film
41954,producciones tepeyac,producciones tepeyac
56112,dismage,dismage
109,rome paris films,rome paris films
223,les films du losange,les films du losange
328,tla releasing,tla releasing
2572,cobra film,cobra film
2499,the kushner-locke company,the kushner-locke company
