director_id,name,gender
112632,Eddie O'Flaherty,x
563888,H. Tjut Djalil,m
1141077,Vincent Mariette,x
17386,Laurent Cantet,m
103129,Ovidio G. Assonitis,x
586285,Rúnar Rúnarsson,m
1271771,Eugeniusz Cekalski,x
1007551,Antonio Mercero,x
82767,Irena Salina,x
94878,Peter Andrikidis,x
72182,Mark Pavia,x
60237,John A. Davis,m
139433,Jon Moritsugu,m
31871,Jaime Contreras,x
13275,Tadanobu Asano,m
68476,Christian Rateuke,x
110348,William Heise,x
87521,Morton DaCosta,x
117120,Yôhei Fukuda,x
1644012,Basia Baumann,f
122778,Constantin Popescu,x
1058278,Grant Munro,x
1755724,Lola Grand,x
51715,Ib Melchior,x
64856,Michael Jai White,m
1391838,Jennifer Harrington,x
74659,Gregory La Cava,m
1463244,Will Makra,x
145678,Patrick Ridremont,m
150289,Akira Inoue,x
237079,Hiroshi Ishikawa,x
1153445,Andrew Matthews,x
1544991,Jang Jae-hyun,m
478644,Geralyn Pezanoski,x
1582001,Peter Molloy,x
6047,Jeffrey Nachmanoff,m
1669559,Stefan Forbes,x
1189614,Lucy Mulloy,x
1157257,Pyotr Chardynin,x
19744,John Korty,m
1601656,Luo Dong,x
132360,Wanuri Kahiu,x
204553,Ethan Spaulding,x
94305,James Cruze,m
49090,Holger Barthel,m
1097192,Michael Meilander,m
52935,John Francis Daley,m
5026,Akira Kurosawa,m
3722,Hans Weingartner,m
1008625,Sherry Shourds,f
1209785,Dan Hartley,x
33364,Frederick Stephani,m
1018690,Lisa R. Cohen,x
2293,Frank Miller,m
127697,Steven Hentges,m
179616,Richard Spence,m
65843,Mihalis Kakogiannis,m
11593,Rudolph Maté,m
1341562,Saurabh Kabra,x
240499,Mikhail Grigoryev,x
1138328,Chad Crawford Kinkle,x
1524299,Cheryl Leigh,x
131388,Bradley Rust Gray,m
1741458,Gregory Daven,x
2036,Alex Garland,m
41222,Arthur Allan Seidelman,m
57652,Louis A. Stroller,x
1030914,Leesong Hee-il,m
935563,Tosca Musk,x
1657570,Daniel Aspromonte,x
986587,Mathieu Denis,m
1453968,Gareth Cowen,x
1290174,Paola di Florio,x
39022,Anthony Page,m
80384,Paul Andrew Williams,m
1033607,Andrew Gallerani,m
109744,Ryan Polito,x
1029811,Stuart Schulberg,x
88448,Roy Frumkes,x
1400425,Nancy Joy McDonald,x
32532,Brad Lewis,m
1175620,Justine Triet,x
229704,Kenneth J. Berton,x
77523,Steve Anderson,m
130895,Russell Thomas,m
1155287,Faozan Rizal,x
48165,Stephan Wagner,x
1341472,Jeff Tomsic,x
1390388,Annie Penn,x
92935,Don Kempf,x
86038,Josh Crook,x
733442,Jim Milio,m
1315107,Zane Buzby,x
3030,Andrew Scheinman,m
234581,Daniel Simpson,x
1045561,Tyler Glodt,x
85822,Anthony C. Ferrante,m
1000059,Eli Kabillio,x
995589,Teiji Ito,x
239263,Duane Hopkins,m
90583,Don Argott,m
41671,Nimród Antal,m
101531,Quentin Lawrence,m
18679,Mark Tarlov,m
133351,Jeremy Joe Kronsberg,m
1173779,Victor Duncan,x
1068114,Brian Oakes,x
1126,Krzysztof Kieślowski,m
1124340,Mario Maffei,m
1437178,Amariah Olson,x
141429,Lance Kinsey,x
118900,Niko Pueringer,m
1444779,Mote Sinabel,x
1293994,Jon Watts,m
84833,Zach Cregger,m
97755,Charles Burnett,m
115122,Dmitriy Dyachenko,x
96198,Tod Lending,x
26648,Luis Llosa,m
22812,Marion Hänsel,f
1748837,Mariah Moore,x
157770,Ben Jones,x
1462919,Nikki Clapp,f
230059,Matty Rich,m
34927,Tim Maltby,m
1128227,Anup Singh,x
588044,Jaffar Mahmood,x
1216466,Beth Smith,x
1128102,Michael Fiore,x
68929,Laurie Anderson,f
1136759,Law Chi,x
143285,Larisa Shepitko,f
87341,Selton Mello,m
1458872,Carolina Häggström,x
1372886,Jenny Quigley,x
223100,Anna Brownfield,x
1706538,Danielle Glotfelty,x
1160535,Yu Irie,x
1032011,Afonso Poyart,x
112160,Robert Malenfant,m
15305,Rick King,m
893462,Jerrold Tarog,m
97942,Jonathan Teplitzky,x
1043877,Craig Teper,x
1728672,Colette Van Mierlo,x
1767042,Weylen Tseng,x
1394567,Kevin Wyrauch,x
1813984,Luigi Spoletini,x
1442187,Georgia Lee,f
5010,Todd Field,m
2881,Glenn Withrow,m
630230,Patrick Garland,x
49186,Anne Weil,x
78530,Fausto Brizzi,m
999947,Thomas Atkins,m
138322,Victor Nunez,m
1152051,Jaime Maestro,x
1537547,Julian Rosefeldt,x
81717,Eddy Terstall,x
1537556,Vanja Aljinovic,x
228,Ed Harris,m
1196433,Noah Stern,x
1046508,Tizza Covi,x
21031,Alejandro Agresti,m
938636,Joan Espinach,x
143018,Fredi M. Murer,x
40242,"Max Baer, Jr.",m
95573,Aron Gaudet,x
1109560,Gaël Lieblang,x
648,Philip Kaufman,m
1119795,Victor Ginzburg,x
544130,Jen Soska,f
105764,Thomas Riedelsheimer,x
1668654,Nithin Simon,x
1046556,Jorge Hinojosa,x
140102,Yukio Mishima,m
102985,Rick Ernst,x
10697,Alan Cumming,m
8820,Joseph Henabery,m
13524,Christopher Guest,m
40493,Frederic Moriette,x
57090,Brett Leonard,x
57742,John Stevenson,m
228762,Stevan Filipović,x
1038590,Joaquim Leitão,m
30477,Peter Werner,m
1207953,Shoujirou Nishimi,x
89695,Josh Binney,x
1136913,Phie Ambo,x
71498,Stephen Deutsch,m
146947,Godfrey Grayson,m
1463243,Daniel Hung Yuan Chiang,x
1610404,Sean Nalaboff,x
1049535,Matthew Patrick,m
1349452,Lars P. Winther,m
1129382,Jyri Kähönen,x
1182819,Brian James O'Connell,x
91987,Gary Burns,m
1673654,Jon Nguyen,x
17469,Monya Galbi,x
31587,Benito Alazraki,m
70127,Shinji Kimura,x
18400,Helge Schneider,m
1759539,Joan Tucker,x
1281019,Walter Boholst,x
213427,Bo Hermansson,x
119356,Antonello Grimaldi,x
1168846,Torbjörn Axelman,x
1456654,Hiroaki Yoshikawa,x
86296,Jason Maurer,m
933276,Emma Cooper,x
1128872,Candida Brady,x
1006705,Eva Sereny,x
1847570,Lance Eakright,x
1686196,Jon Saunders,x
